Waktu (HH:MM:SS.ms),Nilai ADC
10:10:29.923,579
10:10:29.923,666
10:10:29.923,609
10:10:29.923,553
10:10:29.923,566
10:10:29.923,538
10:10:29.923,582
10:10:29.927,511
10:10:29.927,469
10:10:29.927,511
10:10:29.927,466
10:10:29.929,496
10:10:29.929,523
10:10:29.929,475
10:10:29.930,427
10:10:29.930,462
10:10:29.930,471
10:10:29.930,381
10:10:29.930,357
10:10:30.000,413
10:10:30.103,417
10:10:30.198,400
10:10:30.299,395
10:10:30.399,416
10:10:30.501,390
10:10:30.599,368
10:10:30.701,426
10:10:30.802,459
10:10:30.901,490
10:10:31.001,588
10:10:31.094,851
10:10:31.201,941
10:10:31.293,595
10:10:31.401,431
10:10:31.501,349
10:10:31.595,355
10:10:31.703,416
10:10:31.803,414
10:10:31.893,474
10:10:32.001,402
10:10:32.093,541
10:10:32.201,501
10:10:32.292,524
10:10:32.394,642
10:10:32.501,767
10:10:32.603,1012
10:10:32.703,1285
10:10:32.792,777
10:10:32.899,1007
10:10:32.997,1535
10:10:33.102,1663
10:10:33.205,1408
10:10:33.303,1461
10:10:33.404,2042
10:10:33.502,2085
10:10:33.602,2079
10:10:33.695,2944
10:10:33.802,3151
10:10:33.906,3021
10:10:34.005,2943
10:10:34.094,2411
10:10:34.204,1582
10:10:34.304,1153
10:10:34.402,1119
10:10:34.502,917
10:10:34.604,869
10:10:34.702,653
10:10:34.802,738
10:10:34.903,615
10:10:34.995,711
10:10:35.104,1347
10:10:35.203,932
10:10:35.301,796
10:10:35.404,811
10:10:35.503,464
10:10:35.599,550
10:10:35.701,757
10:10:35.803,658
10:10:35.903,448
10:10:36.008,449
10:10:36.095,450
10:10:36.203,573
10:10:36.302,944
10:10:36.404,1613
10:10:36.504,1481
10:10:36.604,1186
10:10:36.705,1005
10:10:36.803,970
10:10:36.903,901
10:10:37.003,816
10:10:37.103,719
10:10:37.203,715
10:10:37.310,511
10:10:37.399,414
10:10:37.503,432
10:10:37.595,400
10:10:37.703,375
10:10:37.802,383
10:10:37.900,400
