Waktu (HH:MM:SS.ms),Nilai ADC
16:39:56.404,91
16:39:56.404,93
16:39:56.404,118
16:39:56.404,98
16:39:56.404,89
16:39:56.404,81
16:39:56.404,83
16:39:56.404,84
16:39:56.404,93
16:39:56.404,107
16:39:56.404,91
16:39:56.404,96
16:39:56.404,95
16:39:56.404,94
16:39:56.404,101
16:39:56.404,99
16:39:56.410,78
16:39:56.410,95
16:39:56.410,94
16:39:56.477,103
16:39:56.580,121
16:39:56.673,176
16:39:56.775,281
16:39:56.875,355
16:39:56.973,404
16:39:57.079,451
16:39:57.181,496
16:39:57.281,510
16:39:57.375,528
16:39:57.477,490
16:39:57.580,421
16:39:57.671,347
16:39:57.780,297
16:39:57.881,221
16:39:57.981,141
16:39:58.083,96
16:39:58.180,131
16:39:58.276,99
16:39:58.371,93
16:39:58.478,87
16:39:58.578,90
16:39:58.678,97
16:39:58.774,112
16:39:58.879,101
16:39:58.979,112
16:39:59.074,143
16:39:59.172,186
16:39:59.276,208
16:39:59.385,238
16:39:59.477,176
16:39:59.577,160
16:39:59.676,119
16:39:59.775,115
16:39:59.876,90
16:39:59.971,98
16:40:00.073,94
16:40:00.178,92
16:40:00.276,65
16:40:00.379,104
16:40:00.479,112
16:40:00.579,486
16:40:00.670,706
16:40:00.776,998
16:40:00.882,1502
16:40:00.975,1279
16:40:01.080,1046
16:40:01.180,944
16:40:01.280,784
16:40:01.381,1003
16:40:01.480,944
16:40:01.581,1083
16:40:01.680,1727
16:40:01.777,1671
16:40:01.880,1744
16:40:01.981,1936
16:40:02.081,1659
16:40:02.181,1498
16:40:02.281,1375
16:40:02.382,1054
16:40:02.476,1199
16:40:02.581,1199
16:40:02.676,1233
16:40:02.781,1184
16:40:02.876,983
16:40:02.977,1126
16:40:03.080,1260
16:40:03.181,1392
16:40:03.272,1416
16:40:03.378,1201
16:40:03.481,1157
16:40:03.581,901
16:40:03.673,912
16:40:03.778,799
16:40:03.877,737
16:40:03.976,725
16:40:04.080,638
16:40:04.173,460
16:40:04.276,368
16:40:04.379,353
16:40:04.482,398
16:40:04.580,368
16:40:04.679,565
16:40:04.775,511
16:40:04.876,393
16:40:04.974,466
16:40:05.079,359
16:40:05.176,470
16:40:05.282,298
16:40:05.371,387
16:40:05.477,379
16:40:05.580,598
16:40:05.670,510
16:40:05.776,511
16:40:05.879,531
16:40:05.971,511
16:40:06.076,400
16:40:06.180,339
16:40:06.279,397
16:40:06.372,407
16:40:06.475,720
16:40:06.579,779
16:40:06.680,762
16:40:06.773,1062
16:40:06.876,1421
16:40:06.972,1616
16:40:07.075,2243
16:40:07.181,2018
