Waktu (HH:MM:SS.ms),Nilai ADC
09:59:34.062,1152
09:59:34.062,1078
09:59:34.062,1068
09:59:34.062,1131
09:59:34.063,1168
09:59:34.063,1071
09:59:34.063,1072
09:59:34.063,1049
09:59:34.065,1006
09:59:34.065,1038
09:59:34.065,1071
09:59:34.065,1061
09:59:34.067,1103
09:59:34.067,1121
09:59:34.067,1151
09:59:34.068,1133
09:59:34.068,1071
09:59:34.069,1072
09:59:34.070,1097
09:59:34.134,1117
09:59:34.235,1084
09:59:34.333,990
09:59:34.432,934
09:59:34.532,974
09:59:34.636,957
09:59:34.734,1023
09:59:34.836,1013
09:59:34.934,989
09:59:35.032,1001
09:59:35.134,942
09:59:35.233,892
09:59:35.333,902
09:59:35.432,858
09:59:35.534,884
09:59:35.633,975
09:59:35.735,1091
09:59:35.832,946
09:59:35.934,906
09:59:36.033,954
09:59:36.127,1019
09:59:36.236,987
09:59:36.334,1023
09:59:36.434,939
09:59:36.534,948
09:59:36.632,963
09:59:36.735,1063
09:59:36.834,1175
09:59:36.934,961
09:59:37.036,871
09:59:37.136,836
09:59:37.231,839
09:59:37.332,879
09:59:37.434,1006
09:59:37.534,1014
09:59:37.634,996
09:59:37.734,833
09:59:37.834,804
09:59:37.938,748
09:59:38.037,861
09:59:38.133,1023
09:59:38.236,991
09:59:38.334,945
09:59:38.437,1105
09:59:38.534,977
09:59:38.634,733
09:59:38.735,752
09:59:38.833,729
09:59:38.935,677
09:59:39.034,763
09:59:39.135,624
09:59:39.234,691
09:59:39.331,665
09:59:39.432,688
09:59:39.535,654
09:59:39.634,761
09:59:39.734,862
09:59:39.838,1042
09:59:39.932,1056
09:59:40.038,799
09:59:40.134,719
09:59:40.236,755
09:59:40.334,848
09:59:40.434,805
09:59:40.535,678
09:59:40.634,653
09:59:40.737,627
09:59:40.837,799
09:59:40.931,954
09:59:41.034,799
09:59:41.133,722
09:59:41.237,794
09:59:41.334,781
09:59:41.438,789
09:59:41.531,730
09:59:41.634,784
09:59:41.734,832
09:59:41.836,770
09:59:41.934,715
09:59:42.032,707
09:59:42.135,702
09:59:42.238,680
09:59:42.335,715
09:59:42.432,695
09:59:42.534,722
09:59:42.629,675
09:59:42.727,699
09:59:42.836,699
09:59:42.933,723
09:59:43.034,697
09:59:43.138,687
09:59:43.232,689
09:59:43.336,677
09:59:43.434,687
