Waktu (HH:MM:SS.ms),Nilai ADC
10:08:21.594,448
10:08:21.594,471
10:08:21.594,414
10:08:21.596,451
10:08:21.596,465
10:08:21.596,438
10:08:21.598,479
10:08:21.598,464
10:08:21.598,498
10:08:21.599,583
10:08:21.599,511
10:08:21.599,583
10:08:21.600,501
10:08:21.600,555
10:08:21.600,480
10:08:21.601,498
10:08:21.602,489
10:08:21.602,527
10:08:21.603,496
10:08:21.671,533
10:08:21.764,462
10:08:21.870,489
10:08:21.965,564
10:08:22.072,536
10:08:22.169,539
10:08:22.271,437
10:08:22.372,464
10:08:22.471,435
10:08:22.572,434
10:08:22.672,471
10:08:22.778,424
10:08:22.868,429
10:08:22.970,402
10:08:23.072,426
10:08:23.170,432
10:08:23.269,386
10:08:23.371,407
10:08:23.473,410
10:08:23.564,400
10:08:23.665,430
10:08:23.769,432
10:08:23.872,401
10:08:23.965,469
10:08:24.065,432
10:08:24.165,446
10:08:24.272,485
10:08:24.369,445
10:08:24.468,421
10:08:24.569,470
10:08:24.671,433
10:08:24.772,381
10:08:24.872,419
10:08:24.972,426
10:08:25.072,400
10:08:25.173,411
10:08:25.272,384
10:08:25.374,390
10:08:25.474,448
10:08:25.574,458
10:08:25.675,448
10:08:25.771,400
10:08:25.874,455
10:08:25.973,389
10:08:26.073,489
10:08:26.174,441
10:08:26.270,560
10:08:26.376,627
10:08:26.473,1178
10:08:26.575,1591
10:08:26.674,1717
10:08:26.775,3171
10:08:26.875,3763
10:08:26.976,4095
10:08:27.074,4095
10:08:27.177,3216
10:08:27.273,3503
10:08:27.374,2304
10:08:27.474,2206
10:08:27.574,1881
10:08:27.673,1408
10:08:27.776,1573
10:08:27.874,1656
10:08:27.974,1243
10:08:28.075,1166
10:08:28.174,1065
10:08:28.273,863
10:08:28.373,689
10:08:28.474,574
10:08:28.577,1217
10:08:28.673,1770
10:08:28.770,2723
10:08:28.874,4095
10:08:28.974,4095
10:08:29.075,4095
10:08:29.176,3383
10:08:29.274,2749
10:08:29.374,2498
10:08:29.475,2416
10:08:29.574,2160
10:08:29.672,2111
10:08:29.773,1958
10:08:29.872,1914
10:08:29.974,1891
10:08:30.070,1749
10:08:30.173,1687
10:08:30.274,1535
10:08:30.374,1471
10:08:30.474,1439
10:08:30.571,1255
10:08:30.676,1107
10:08:30.768,906
10:08:30.874,863
10:08:30.966,843
10:08:31.069,725
10:08:31.165,617
10:08:31.273,559
10:08:31.373,464
10:08:31.473,432
10:08:31.574,370
10:08:31.674,368
10:08:31.774,341
10:08:31.873,386
10:08:31.975,347
10:08:32.074,366
10:08:32.174,416
10:08:32.274,398
10:08:32.374,395
10:08:32.474,371
10:08:32.574,399
10:08:32.673,410
10:08:32.769,399
10:08:32.873,398
10:08:32.974,427
10:08:33.074,477
10:08:33.171,550
10:08:33.274,546
10:08:33.373,554
10:08:33.475,571
10:08:33.584,596
10:08:33.672,567
10:08:33.773,622
10:08:33.874,590
10:08:33.965,529
10:08:34.072,570
10:08:34.164,511
10:08:34.271,545
10:08:34.374,498
10:08:34.471,531
10:08:34.563,527
10:08:34.672,527
10:08:34.763,526
10:08:34.872,459
