Waktu (HH:MM:SS.ms),Nilai ADC
16:43:53.244,851
16:43:53.244,576
16:43:53.244,405
16:43:53.244,307
16:43:53.244,240
16:43:53.249,211
16:43:53.249,192
16:43:53.249,301
16:43:53.249,175
16:43:53.249,153
16:43:53.251,179
16:43:53.251,150
16:43:53.252,219
16:43:53.253,192
16:43:53.253,269
16:43:53.253,395
16:43:53.256,426
16:43:53.256,445
16:43:53.256,368
16:43:53.324,304
16:43:53.428,215
16:43:53.522,208
16:43:53.623,299
16:43:53.723,560
16:43:53.823,915
16:43:53.922,1253
16:43:54.027,1535
16:43:54.122,1689
16:43:54.229,1789
16:43:54.329,1787
16:43:54.423,1998
16:43:54.522,1967
16:43:54.627,1816
16:43:54.721,1667
16:43:54.825,1511
16:43:54.928,1250
16:43:55.026,848
16:43:55.127,528
16:43:55.227,288
16:43:55.325,215
16:43:55.424,166
16:43:55.526,198
16:43:55.621,191
16:43:55.725,230
16:43:55.827,213
16:43:55.922,265
16:43:56.019,375
16:43:56.123,558
16:43:56.224,858
16:43:56.324,1050
16:43:56.424,1186
16:43:56.529,1127
16:43:56.629,1140
16:43:56.725,1129
16:43:56.826,968
16:43:56.925,775
16:43:57.026,769
16:43:57.120,625
16:43:57.223,464
16:43:57.318,459
16:43:57.421,373
16:43:57.526,253
16:43:57.625,178
16:43:57.726,187
16:43:57.820,496
16:43:57.921,751
16:43:58.032,1386
16:43:58.122,1713
16:43:58.224,2671
16:43:58.323,4095
16:43:58.423,3751
16:43:58.526,3223
16:43:58.627,2697
16:43:58.727,2683
16:43:58.827,2850
16:43:58.919,2203
16:43:59.022,1970
16:43:59.127,1987
16:43:59.225,1535
16:43:59.325,2043
16:43:59.427,1718
16:43:59.527,1243
16:43:59.618,1693
16:43:59.724,1401
16:43:59.827,2000
16:43:59.923,1749
16:44:00.021,1379
16:44:00.126,1312
16:44:00.221,1347
16:44:00.323,1440
16:44:00.426,1328
16:44:00.521,1459
16:44:00.626,1533
16:44:00.719,1419
16:44:00.822,1118
16:44:00.925,1414
16:44:01.024,1341
16:44:01.122,1153
16:44:01.225,1341
16:44:01.321,1102
16:44:01.427,1081
16:44:01.525,832
16:44:01.627,654
16:44:01.726,596
16:44:01.830,496
16:44:01.925,570
16:44:02.026,545
16:44:02.120,454
16:44:02.222,278
16:44:02.325,295
16:44:02.426,272
16:44:02.523,259
16:44:02.624,211
16:44:02.718,400
16:44:02.825,250
16:44:02.921,217
16:44:03.021,196
16:44:03.127,223
16:44:03.227,221
16:44:03.328,237
16:44:03.422,272
16:44:03.523,304
16:44:03.626,278
16:44:03.725,352
16:44:03.826,367
16:44:03.925,268
16:44:04.025,282
16:44:04.124,333
