Waktu (HH:MM:SS.ms),Nilai ADC
10:09:01.247,669
10:09:01.247,582
10:09:01.247,592
10:09:01.248,507
10:09:01.248,480
10:09:01.248,496
10:09:01.248,427
10:09:01.248,395
10:09:01.248,395
10:09:01.248,380
10:09:01.248,377
10:09:01.248,394
10:09:01.248,347
10:09:01.252,343
10:09:01.252,400
10:09:01.252,464
10:09:01.253,560
10:09:01.253,560
10:09:01.254,443
10:09:01.317,391
10:09:01.424,371
10:09:01.522,387
10:09:01.615,415
10:09:01.719,422
10:09:01.821,491
10:09:01.921,443
10:09:02.021,511
10:09:02.122,464
10:09:02.218,475
10:09:02.315,511
10:09:02.421,479
10:09:02.521,499
10:09:02.622,465
10:09:02.721,442
10:09:02.822,446
10:09:02.923,470
10:09:03.025,530
10:09:03.121,479
10:09:03.221,462
10:09:03.322,483
10:09:03.422,469
10:09:03.518,528
10:09:03.622,511
10:09:03.712,492
10:09:03.815,475
10:09:03.921,435
10:09:04.017,465
10:09:04.122,432
10:09:04.220,388
10:09:04.316,395
10:09:04.416,409
10:09:04.524,387
10:09:04.625,412
10:09:04.718,345
10:09:04.815,443
10:09:04.920,401
10:09:05.014,402
10:09:05.121,403
10:09:05.224,397
10:09:05.324,347
10:09:05.428,387
10:09:05.523,571
10:09:05.623,1535
10:09:05.724,1631
10:09:05.824,1386
10:09:05.920,1212
10:09:06.022,914
10:09:06.124,830
10:09:06.222,929
10:09:06.322,756
10:09:06.423,1391
10:09:06.523,3152
10:09:06.624,4095
10:09:06.723,4095
10:09:06.825,4095
10:09:06.923,2895
10:09:07.025,2701
10:09:07.124,2752
10:09:07.224,2551
10:09:07.325,2176
10:09:07.415,2741
10:09:07.523,2659
10:09:07.624,2278
10:09:07.724,1659
10:09:07.821,1520
10:09:07.923,1265
10:09:08.022,948
10:09:08.124,794
10:09:08.224,473
10:09:08.323,695
10:09:08.421,511
10:09:08.526,591
10:09:08.624,944
10:09:08.724,1409
10:09:08.815,1281
10:09:08.924,693
10:09:09.022,559
10:09:09.124,613
10:09:09.224,590
10:09:09.322,669
10:09:09.420,734
10:09:09.524,649
10:09:09.624,627
10:09:09.722,497
10:09:09.821,448
10:09:09.926,390
10:09:10.021,405
10:09:10.126,405
10:09:10.223,422
10:09:10.323,487
10:09:10.423,480
10:09:10.524,468
10:09:10.624,466
10:09:10.719,462
10:09:10.824,438
10:09:10.924,503
10:09:11.018,451
10:09:11.124,486
10:09:11.215,423
10:09:11.322,464
10:09:11.417,447
10:09:11.521,395
10:09:11.623,440
10:09:11.722,423
10:09:11.817,422
10:09:11.922,432
10:09:12.021,432
