Waktu (HH:MM:SS.ms),Nilai ADC
10:03:27.691,368
10:03:27.694,359
10:03:27.694,416
10:03:27.694,362
10:03:27.694,380
10:03:27.694,336
10:03:27.694,316
10:03:27.696,355
10:03:27.696,334
10:03:27.696,341
10:03:27.696,327
10:03:27.696,325
10:03:27.696,285
10:03:27.696,304
10:03:27.696,348
10:03:27.700,279
10:03:27.700,329
10:03:27.700,292
10:03:27.701,279
10:03:27.703,334
10:03:27.803,320
10:03:27.903,351
10:03:28.003,300
10:03:28.103,414
10:03:28.203,356
10:03:28.303,320
10:03:28.403,357
10:03:28.504,327
10:03:28.593,341
10:03:28.702,389
10:03:28.803,336
10:03:28.903,342
10:03:29.003,318
10:03:29.103,368
10:03:29.203,320
10:03:29.305,378
10:03:29.397,336
10:03:29.498,427
10:03:29.603,334
10:03:29.703,352
10:03:29.803,336
10:03:29.903,336
10:03:30.003,398
10:03:30.102,336
10:03:30.204,352
10:03:30.298,336
10:03:30.403,326
10:03:30.503,374
10:03:30.602,353
10:03:30.700,404
10:03:30.804,352
10:03:30.903,354
10:03:31.006,304
10:03:31.104,343
10:03:31.204,355
10:03:31.304,290
10:03:31.404,356
10:03:31.505,307
10:03:31.604,349
10:03:31.700,335
10:03:31.805,320
10:03:31.904,360
10:03:32.005,318
10:03:32.100,305
10:03:32.202,302
10:03:32.304,302
10:03:32.407,374
10:03:32.507,331
10:03:32.605,288
10:03:32.705,298
10:03:32.804,304
10:03:32.905,293
10:03:33.002,336
10:03:33.104,433
10:03:33.202,365
10:03:33.304,368
10:03:33.406,421
10:03:33.506,397
10:03:33.604,352
10:03:33.705,329
10:03:33.807,354
10:03:33.903,320
10:03:34.005,279
10:03:34.103,336
10:03:34.206,413
10:03:34.304,417
10:03:34.399,350
10:03:34.503,315
10:03:34.604,400
10:03:34.712,349
10:03:34.812,385
10:03:34.903,340
10:03:35.006,363
10:03:35.103,336
10:03:35.204,400
10:03:35.306,336
10:03:35.407,315
10:03:35.499,319
10:03:35.598,367
10:03:35.703,404
10:03:35.803,450
10:03:35.905,511
10:03:36.004,464
10:03:36.102,374
10:03:36.204,393
10:03:36.307,341
10:03:36.403,355
10:03:36.504,336
10:03:36.606,299
10:03:36.704,300
10:03:36.803,452
10:03:36.902,465
10:03:37.006,359
10:03:37.107,311
10:03:37.201,339
10:03:37.301,352
10:03:37.403,319
10:03:37.505,334
10:03:37.602,341
10:03:37.705,384
10:03:37.804,333
10:03:37.904,344
10:03:38.009,334
10:03:38.104,308
10:03:38.205,468
10:03:38.304,471
10:03:38.401,480
10:03:38.506,365
10:03:38.604,387
10:03:38.704,413
10:03:38.805,432
10:03:38.904,420
10:03:39.005,418
10:03:39.102,400
10:03:39.204,489
10:03:39.306,401
10:03:39.404,368
10:03:39.505,343
10:03:39.604,325
10:03:39.706,334
10:03:39.799,336
10:03:39.905,388
10:03:39.999,367
10:03:40.096,336
10:03:40.200,331
10:03:40.307,351
10:03:40.400,341
10:03:40.501,363
10:03:40.603,352
10:03:40.706,339
10:03:40.800,325
10:03:40.900,361
10:03:41.003,334
10:03:41.107,315
10:03:41.207,325
10:03:41.304,320
10:03:41.405,336
10:03:41.499,310
10:03:41.603,403
10:03:41.706,432
10:03:41.805,349
10:03:41.906,301
10:03:42.007,308
10:03:42.105,329
10:03:42.202,299
10:03:42.304,357
10:03:42.406,306
10:03:42.498,336
10:03:42.601,305
10:03:42.713,317
10:03:42.804,351
10:03:42.905,358
10:03:43.004,351
10:03:43.103,303
10:03:43.204,294
10:03:43.297,299
10:03:43.408,330
10:03:43.509,314
10:03:43.603,320
10:03:43.698,351
10:03:43.800,336
10:03:43.905,373
10:03:44.001,368
10:03:44.101,358
10:03:44.200,354
10:03:44.305,330
10:03:44.402,329
10:03:44.504,334
10:03:44.598,313
10:03:44.707,384
10:03:44.807,366
10:03:44.903,297
10:03:45.004,353
10:03:45.104,336
10:03:45.204,291
10:03:45.306,330
10:03:45.399,331
10:03:45.505,336
10:03:45.607,327
10:03:45.702,313
10:03:45.805,307
10:03:45.906,322
10:03:46.004,307
10:03:46.102,333
10:03:46.206,298
10:03:46.305,291
10:03:46.406,304
10:03:46.504,298
10:03:46.604,291
10:03:46.709,313
10:03:46.806,283
10:03:46.904,303
10:03:47.003,302
10:03:47.104,282
10:03:47.202,295
10:03:47.305,305
10:03:47.404,315
10:03:47.506,329
10:03:47.604,319
10:03:47.704,337
10:03:47.801,299
10:03:47.904,322
10:03:48.004,326
10:03:48.100,323
10:03:48.204,302
10:03:48.306,294
10:03:48.404,298
10:03:48.506,291
10:03:48.604,302
10:03:48.706,327
10:03:48.805,338
10:03:48.904,320
10:03:48.999,309
10:03:49.105,298
10:03:49.204,298
10:03:49.303,306
10:03:49.404,303
10:03:49.506,304
10:03:49.604,290
10:03:49.708,328
10:03:49.804,338
10:03:49.906,295
10:03:50.005,306
10:03:50.104,290
10:03:50.205,306
10:03:50.305,304
10:03:50.402,308
10:03:50.504,314
10:03:50.604,342
10:03:50.703,314
10:03:50.802,304
10:03:50.904,331
10:03:50.999,308
10:03:51.102,289
10:03:51.204,295
10:03:51.304,314
10:03:51.408,294
10:03:51.508,318
10:03:51.604,287
10:03:51.703,277
10:03:51.806,271
10:03:51.904,317
10:03:52.004,320
10:03:52.105,353
10:03:52.204,377
10:03:52.305,336
10:03:52.402,269
10:03:52.505,349
10:03:52.598,367
10:03:52.704,353
10:03:52.806,316
10:03:52.906,292
10:03:53.002,333
10:03:53.103,311
10:03:53.206,276
10:03:53.304,319
10:03:53.406,321
10:03:53.504,341
10:03:53.606,348
10:03:53.703,341
10:03:53.808,368
10:03:53.904,330
10:03:54.005,368
10:03:54.104,445
10:03:54.206,390
10:03:54.302,339
10:03:54.404,350
10:03:54.505,349
10:03:54.604,314
10:03:54.702,320
10:03:54.806,305
10:03:54.904,385
10:03:55.004,446
10:03:55.104,495
10:03:55.207,495
10:03:55.306,467
10:03:55.411,432
10:03:55.504,368
10:03:55.604,405
10:03:55.706,437
10:03:55.804,394
10:03:55.906,399
10:03:56.003,315
10:03:56.111,349
10:03:56.199,327
10:03:56.301,338
10:03:56.404,342
10:03:56.506,311
10:03:56.601,290
10:03:56.706,331
10:03:56.804,304
10:03:56.904,304
10:03:57.005,274
10:03:57.103,307
10:03:57.204,335
10:03:57.304,350
10:03:57.406,353
10:03:57.504,368
10:03:57.608,359
10:03:57.705,350
10:03:57.806,350
10:03:57.906,347
10:03:58.006,439
10:03:58.106,386
10:03:58.206,350
10:03:58.305,348
10:03:58.406,319
10:03:58.507,332
10:03:58.611,343
10:03:58.706,309
10:03:58.804,301
10:03:58.904,322
10:03:59.003,307
10:03:59.103,282
10:03:59.204,320
10:03:59.307,351
10:03:59.399,407
10:03:59.504,535
10:03:59.603,396
10:03:59.704,371
10:03:59.804,337
10:03:59.908,371
10:04:00.006,339
10:04:00.108,336
10:04:00.205,325
10:04:00.303,277
10:04:00.406,282
10:04:00.506,316
10:04:00.606,297
10:04:00.704,288
10:04:00.804,323
10:04:00.908,304
10:04:01.004,289
10:04:01.104,322
10:04:01.199,297
10:04:01.302,299
10:04:01.406,305
10:04:01.504,317
10:04:01.604,305
10:04:01.702,322
10:04:01.806,333
10:04:01.904,352
10:04:02.004,364
10:04:02.101,318
10:04:02.206,336
10:04:02.303,320
10:04:02.408,335
10:04:02.503,306
10:04:02.606,305
10:04:02.704,270
10:04:02.804,361
10:04:02.904,336
10:04:03.004,330
10:04:03.102,341
10:04:03.206,341
10:04:03.302,304
10:04:03.398,342
10:04:03.507,327
10:04:03.604,334
10:04:03.702,323
10:04:03.808,336
10:04:03.903,303
10:04:03.997,319
10:04:04.104,272
10:04:04.204,374
10:04:04.305,310
10:04:04.406,318
10:04:04.513,334
10:04:04.601,287
10:04:04.704,336
10:04:04.805,320
10:04:04.906,304
10:04:05.003,313
10:04:05.106,320
10:04:05.205,290
10:04:05.301,309
10:04:05.404,298
10:04:05.508,304
10:04:05.611,307
10:04:05.706,311
10:04:05.806,272
10:04:05.906,337
10:04:06.005,316
10:04:06.102,301
10:04:06.206,277
10:04:06.304,297
10:04:06.404,329
10:04:06.508,342
10:04:06.604,363
10:04:06.704,400
10:04:06.804,387
10:04:06.906,336
10:04:07.004,498
10:04:07.103,560
10:04:07.207,547
10:04:07.308,533
10:04:07.407,614
10:04:07.506,720
10:04:07.604,697
10:04:07.703,749
10:04:07.798,762
10:04:07.904,725
10:04:08.004,735
10:04:08.101,640
10:04:08.205,523
10:04:08.307,545
10:04:08.404,507
10:04:08.506,377
10:04:08.599,428
10:04:08.705,397
10:04:08.801,396
10:04:08.904,419
10:04:09.002,379
10:04:09.102,323
10:04:09.204,368
10:04:09.306,378
10:04:09.404,336
10:04:09.504,354
10:04:09.601,397
10:04:09.708,379
10:04:09.804,371
10:04:09.904,386
10:04:10.006,395
10:04:10.103,376
10:04:10.200,357
10:04:10.307,399
10:04:10.405,393
10:04:10.504,368
10:04:10.597,362
10:04:10.703,315
10:04:10.804,334
10:04:10.902,361
10:04:11.005,336
10:04:11.105,382
10:04:11.205,369
10:04:11.308,416
10:04:11.404,461
10:04:11.501,445
10:04:11.605,350
10:04:11.701,373
10:04:11.802,394
10:04:11.906,337
10:04:12.004,318
10:04:12.104,324
10:04:12.201,318
10:04:12.313,299
10:04:12.406,281
10:04:12.505,294
10:04:12.603,266
10:04:12.705,259
10:04:12.803,265
10:04:12.908,255
10:04:13.002,264
10:04:13.105,315
10:04:13.206,308
10:04:13.307,282
10:04:13.399,267
10:04:13.504,275
