Waktu (HH:MM:SS.ms),Nilai ADC
10:14:20.594,1187
10:14:20.594,1159
10:14:20.605,1325
10:14:20.605,1311
10:14:20.606,1124
10:14:20.606,1136
10:14:20.607,1200
10:14:20.608,1233
10:14:20.608,1085
10:14:20.608,978
10:14:20.609,981
10:14:20.609,1063
10:14:20.609,1055
10:14:20.610,941
10:14:20.610,930
10:14:20.610,816
10:14:20.612,959
10:14:20.612,850
10:14:20.612,881
10:14:20.664,941
10:14:20.772,883
10:14:20.869,807
10:14:20.969,797
10:14:21.069,803
10:14:21.169,853
10:14:21.267,789
10:14:21.369,848
10:14:21.463,999
10:14:21.569,880
10:14:21.664,922
10:14:21.770,846
10:14:21.865,786
10:14:21.967,848
10:14:22.069,710
10:14:22.168,953
10:14:22.270,974
10:14:22.370,930
10:14:22.471,902
10:14:22.570,937
10:14:22.670,857
10:14:22.768,974
10:14:22.870,916
10:14:22.964,918
10:14:23.068,937
10:14:23.170,1040
10:14:23.271,988
10:14:23.368,899
10:14:23.463,1040
10:14:23.569,906
10:14:23.671,1092
10:14:23.769,1042
10:14:23.869,954
10:14:23.971,1200
10:14:24.073,1665
10:14:24.170,1722
10:14:24.272,1574
10:14:24.371,1916
10:14:24.472,2214
10:14:24.575,2676
10:14:24.673,2453
10:14:24.766,2319
10:14:24.867,1597
10:14:24.970,1831
10:14:25.072,1408
10:14:25.167,1930
10:14:25.272,1472
10:14:25.372,1409
10:14:25.474,1779
10:14:25.573,1385
10:14:25.673,1211
10:14:25.773,1486
10:14:25.873,2022
10:14:25.973,1619
10:14:26.075,1104
10:14:26.173,1233
10:14:26.273,1186
10:14:26.381,1069
10:14:26.472,976
10:14:26.564,923
10:14:26.671,976
10:14:26.764,971
10:14:26.865,1115
10:14:26.972,944
10:14:27.064,1014
10:14:27.171,933
10:14:27.274,853
10:14:27.365,883
10:14:27.467,859
10:14:27.572,937
10:14:27.671,838
10:14:27.771,826
10:14:27.870,822
10:14:27.971,879
10:14:28.073,881
10:14:28.172,759
10:14:28.270,942
10:14:28.371,993
10:14:28.463,896
10:14:28.572,978
10:14:28.673,995
10:14:28.771,1303
10:14:28.865,1277
10:14:28.971,1159
10:14:29.062,1020
10:14:29.162,913
10:14:29.269,689
10:14:29.365,656
10:14:29.462,690
10:14:29.572,655
10:14:29.674,663
10:14:29.770,686
10:14:29.864,682
10:14:29.966,583
