Waktu (HH:MM:SS.ms),Nilai ADC
10:05:56.729,470
10:05:56.729,511
10:05:56.729,481
10:05:56.729,402
10:05:56.729,406
10:05:56.729,416
10:05:56.729,396
10:05:56.729,434
10:05:56.729,411
10:05:56.729,421
10:05:56.733,441
10:05:56.733,431
10:05:56.734,445
10:05:56.734,448
10:05:56.735,419
10:05:56.735,435
10:05:56.736,408
10:05:56.736,416
10:05:56.737,435
10:05:56.792,458
10:05:56.893,409
10:05:56.992,402
10:05:57.088,407
10:05:57.192,434
10:05:57.293,404
10:05:57.391,371
10:05:57.493,384
10:05:57.592,387
10:05:57.693,384
10:05:57.793,395
10:05:57.892,509
10:05:57.993,580
10:05:58.093,701
10:05:58.193,707
10:05:58.294,795
10:05:58.393,831
10:05:58.492,883
10:05:58.599,837
10:05:58.686,722
10:05:58.793,635
10:05:58.893,665
10:05:58.993,563
10:05:59.092,659
10:05:59.193,863
10:05:59.294,1273
10:05:59.396,1441
10:05:59.492,2113
10:05:59.594,2443
10:05:59.694,4065
10:05:59.792,4095
10:05:59.894,4095
10:05:59.994,4095
10:06:00.094,3551
10:06:00.191,2762
10:06:00.293,1862
10:06:00.390,1587
10:06:00.493,1785
10:06:00.596,1225
10:06:00.692,1215
10:06:00.798,1470
10:06:00.893,961
10:06:00.999,849
10:06:01.091,903
10:06:01.196,1023
10:06:01.294,1114
10:06:01.394,1516
10:06:01.494,1773
10:06:01.598,1311
10:06:01.697,1120
10:06:01.800,656
10:06:01.892,464
10:06:01.994,371
10:06:02.092,325
10:06:02.193,375
10:06:02.295,305
10:06:02.394,320
10:06:02.497,321
10:06:02.594,351
10:06:02.692,291
10:06:02.794,262
10:06:02.892,294
10:06:02.994,283
10:06:03.095,294
10:06:03.195,302
10:06:03.295,313
10:06:03.395,277
10:06:03.492,277
10:06:03.591,288
10:06:03.694,333
10:06:03.789,335
10:06:03.892,273
10:06:03.995,257
10:06:04.094,320
10:06:04.194,454
10:06:04.295,457
10:06:04.394,1230
10:06:04.494,1823
10:06:04.595,2173
10:06:04.693,1600
10:06:04.798,1417
10:06:04.894,1683
10:06:04.987,1093
10:06:05.093,662
10:06:05.184,490
10:06:05.294,350
10:06:05.392,304
10:06:05.493,290
10:06:05.594,307
10:06:05.694,273
10:06:05.795,300
10:06:05.890,304
10:06:05.984,308
10:06:06.090,304
10:06:06.194,304
10:06:06.288,344
10:06:06.394,330
