Waktu (HH:MM:SS.ms),Nilai ADC
10:00:52.235,4095
10:00:52.235,4095
10:00:52.235,3854
10:00:52.235,2293
10:00:52.235,1754
10:00:52.239,1533
10:00:52.239,1675
10:00:52.239,1729
10:00:52.241,1505
10:00:52.241,1467
10:00:52.241,1196
10:00:52.242,1366
10:00:52.242,1638
10:00:52.243,1433
10:00:52.243,1107
10:00:52.244,704
10:00:52.244,430
10:00:52.246,373
10:00:52.248,400
10:00:52.312,525
10:00:52.408,449
10:00:52.512,446
10:00:52.613,444
10:00:52.706,423
10:00:52.817,464
10:00:52.918,486
10:00:53.014,459
10:00:53.114,770
10:00:53.209,978
10:00:53.315,1074
10:00:53.418,1205
10:00:53.518,990
10:00:53.616,613
10:00:53.716,477
10:00:53.816,343
10:00:53.909,389
10:00:54.015,369
10:00:54.114,461
10:00:54.218,542
10:00:54.316,525
10:00:54.414,483
10:00:54.514,401
10:00:54.615,426
10:00:54.716,401
10:00:54.814,386
10:00:54.916,549
10:00:55.013,898
10:00:55.118,816
10:00:55.220,592
10:00:55.307,575
10:00:55.413,532
10:00:55.516,442
10:00:55.617,383
10:00:55.714,321
10:00:55.817,324
10:00:55.915,333
10:00:56.010,384
10:00:56.113,389
10:00:56.215,464
10:00:56.314,353
10:00:56.414,345
10:00:56.514,350
10:00:56.611,353
10:00:56.716,336
10:00:56.814,389
10:00:56.914,433
10:00:57.014,404
10:00:57.114,402
10:00:57.217,376
10:00:57.312,369
10:00:57.408,415
10:00:57.514,352
10:00:57.618,395
10:00:57.716,446
10:00:57.808,414
10:00:57.914,375
10:00:58.013,336
10:00:58.116,368
10:00:58.210,339
10:00:58.315,267
10:00:58.414,348
10:00:58.507,321
10:00:58.613,316
10:00:58.716,358
10:00:58.814,426
10:00:58.913,377
10:00:59.022,329
10:00:59.113,304
10:00:59.216,339
10:00:59.313,336
10:00:59.416,321
10:00:59.514,304
10:00:59.615,306
10:00:59.716,330
10:00:59.813,297
10:00:59.914,312
10:01:00.016,333
10:01:00.114,332
10:01:00.214,357
10:01:00.314,327
10:01:00.410,298
10:01:00.512,315
10:01:00.618,340
10:01:00.712,366
10:01:00.812,313
10:01:00.910,309
10:01:01.014,336
10:01:01.115,321
10:01:01.212,341
10:01:01.316,294
10:01:01.414,322
10:01:01.514,345
10:01:01.613,353
10:01:01.713,336
10:01:01.815,366
10:01:01.913,432
10:01:02.014,463
10:01:02.114,365
10:01:02.214,331
10:01:02.314,350
10:01:02.418,356
10:01:02.516,387
10:01:02.612,390
10:01:02.714,350
10:01:02.814,406
10:01:02.911,331
10:01:03.016,325
10:01:03.114,326
10:01:03.218,350
10:01:03.313,390
10:01:03.412,373
10:01:03.514,379
10:01:03.612,343
10:01:03.715,360
10:01:03.814,458
10:01:03.918,464
10:01:04.015,449
10:01:04.113,421
10:01:04.216,354
10:01:04.311,320
10:01:04.414,324
10:01:04.516,332
10:01:04.616,352
10:01:04.714,293
10:01:04.815,350
10:01:04.908,363
10:01:05.011,368
10:01:05.114,342
10:01:05.209,319
10:01:05.315,353
10:01:05.413,317
10:01:05.515,304
10:01:05.615,329
10:01:05.710,320
10:01:05.815,327
10:01:05.914,324
10:01:06.016,428
10:01:06.115,367
10:01:06.216,319
10:01:06.315,314
10:01:06.418,314
10:01:06.516,354
10:01:06.616,339
10:01:06.712,311
10:01:06.814,300
10:01:06.912,320
10:01:07.014,304
10:01:07.118,320
10:01:07.212,305
10:01:07.314,292
10:01:07.414,304
10:01:07.516,350
10:01:07.617,345
10:01:07.715,369
10:01:07.816,343
10:01:07.914,311
10:01:08.016,331
10:01:08.114,310
10:01:08.215,339
10:01:08.313,339
10:01:08.415,414
10:01:08.509,330
10:01:08.612,315
10:01:08.714,304
10:01:08.814,302
10:01:08.913,318
10:01:09.011,372
10:01:09.117,405
10:01:09.219,324
10:01:09.313,314
10:01:09.414,304
10:01:09.516,290
10:01:09.614,298
10:01:09.714,286
10:01:09.815,301
10:01:09.914,294
10:01:10.015,334
10:01:10.113,347
10:01:10.213,299
10:01:10.317,262
10:01:10.417,267
10:01:10.514,304
10:01:10.614,269
10:01:10.714,303
10:01:10.813,338
10:01:10.912,389
10:01:11.013,318
10:01:11.114,355
10:01:11.215,384
10:01:11.314,391
10:01:11.411,406
10:01:11.516,391
10:01:11.615,404
10:01:11.714,649
10:01:11.815,449
10:01:11.914,317
10:01:12.014,312
10:01:12.117,336
10:01:12.213,360
10:01:12.314,304
10:01:12.415,320
10:01:12.512,304
10:01:12.614,391
10:01:12.714,534
10:01:12.818,646
10:01:12.915,656
10:01:13.011,610
10:01:13.115,571
10:01:13.214,560
10:01:13.314,592
10:01:13.415,706
10:01:13.519,640
10:01:13.613,539
10:01:13.712,526
10:01:13.814,495
10:01:13.914,409
10:01:14.013,378
10:01:14.114,421
10:01:14.216,433
10:01:14.319,368
10:01:14.414,373
10:01:14.525,368
10:01:14.611,368
10:01:14.715,330
10:01:14.817,285
10:01:14.914,302
10:01:15.016,402
10:01:15.116,370
10:01:15.217,321
10:01:15.319,282
10:01:15.413,294
10:01:15.517,287
10:01:15.614,312
10:01:15.714,275
10:01:15.814,284
10:01:15.917,323
10:01:16.017,262
10:01:16.113,295
10:01:16.211,305
10:01:16.315,286
10:01:16.412,320
10:01:16.514,337
10:01:16.612,344
10:01:16.719,305
10:01:16.816,315
10:01:16.914,361
10:01:17.024,333
10:01:17.111,340
10:01:17.212,400
10:01:17.314,353
10:01:17.414,336
10:01:17.517,336
10:01:17.613,288
10:01:17.713,294
10:01:17.818,287
10:01:17.922,325
10:01:18.018,276
10:01:18.117,331
10:01:18.214,336
10:01:18.315,375
10:01:18.412,309
10:01:18.517,267
10:01:18.622,320
10:01:18.714,316
10:01:18.814,279
10:01:18.915,313
10:01:19.015,290
10:01:19.117,320
10:01:19.216,294
10:01:19.316,259
10:01:19.417,240
10:01:19.517,469
10:01:19.617,336
10:01:19.718,384
10:01:19.817,400
10:01:19.917,320
10:01:20.012,309
10:01:20.118,337
10:01:20.218,323
10:01:20.319,279
10:01:20.418,287
10:01:20.514,284
10:01:20.614,301
10:01:20.714,322
10:01:20.813,421
10:01:20.915,393
10:01:21.017,322
10:01:21.117,311
10:01:21.216,298
10:01:21.317,304
10:01:21.412,311
10:01:21.514,329
10:01:21.612,298
10:01:21.717,292
10:01:21.819,314
10:01:21.919,429
10:01:22.017,402
10:01:22.110,356
10:01:22.214,336
10:01:22.316,367
10:01:22.416,432
10:01:22.514,370
10:01:22.614,354
10:01:22.722,390
10:01:22.811,288
10:01:22.912,309
10:01:23.014,287
10:01:23.113,295
10:01:23.213,290
10:01:23.314,271
10:01:23.416,302
10:01:23.517,282
10:01:23.614,284
10:01:23.717,303
10:01:23.813,336
10:01:23.917,496
10:01:24.014,437
10:01:24.119,336
10:01:24.215,304
10:01:24.318,268
10:01:24.417,246
10:01:24.517,258
10:01:24.615,233
10:01:24.714,288
10:01:24.812,272
10:01:24.911,260
10:01:25.021,254
10:01:25.115,251
10:01:25.214,271
10:01:25.317,272
10:01:25.414,291
10:01:25.513,278
10:01:25.612,278
10:01:25.719,299
10:01:25.819,167
10:01:25.912,263
10:01:26.015,335
10:01:26.117,487
10:01:26.217,511
10:01:26.314,402
10:01:26.416,397
10:01:26.516,336
10:01:26.617,270
10:01:26.708,407
10:01:26.812,421
10:01:26.917,282
10:01:27.013,309
10:01:27.117,382
10:01:27.218,423
10:01:27.311,435
10:01:27.413,362
10:01:27.514,293
10:01:27.617,387
10:01:27.712,374
10:01:27.814,339
10:01:27.919,290
10:01:28.016,296
10:01:28.117,242
10:01:28.214,351
10:01:28.309,400
10:01:28.414,547
10:01:28.517,577
10:01:28.616,702
10:01:28.715,797
10:01:28.819,841
10:01:28.913,858
10:01:29.018,769
10:01:29.117,817
10:01:29.214,814
10:01:29.314,688
10:01:29.418,622
10:01:29.515,555
10:01:29.610,561
10:01:29.716,480
10:01:29.816,420
10:01:29.916,386
10:01:30.012,402
10:01:30.116,355
10:01:30.217,406
10:01:30.312,400
10:01:30.408,368
10:01:30.514,390
10:01:30.616,323
10:01:30.714,262
10:01:30.812,304
10:01:30.912,330
10:01:31.012,362
10:01:31.111,374
10:01:31.211,365
10:01:31.317,321
10:01:31.415,365
10:01:31.514,318
10:01:31.616,343
10:01:31.712,337
10:01:31.815,305
10:01:31.914,384
10:01:32.014,347
10:01:32.115,336
10:01:32.217,306
10:01:32.317,292
10:01:32.417,270
10:01:32.517,288
10:01:32.617,305
10:01:32.719,267
10:01:32.814,288
10:01:32.911,313
10:01:33.014,276
10:01:33.114,290
10:01:33.217,243
10:01:33.314,299
10:01:33.415,240
10:01:33.516,210
10:01:33.616,269
10:01:33.714,283
10:01:33.809,262
10:01:33.910,322
10:01:34.014,305
10:01:34.117,317
10:01:34.213,432
10:01:34.317,322
10:01:34.410,287
10:01:34.515,294
10:01:34.615,309
10:01:34.717,287
10:01:34.813,304
10:01:34.912,258
10:01:35.018,272
10:01:35.117,279
10:01:35.216,292
10:01:35.317,329
10:01:35.412,306
10:01:35.516,304
10:01:35.612,308
10:01:35.716,333
10:01:35.814,374
10:01:35.912,355
10:01:36.018,303
10:01:36.119,331
10:01:36.216,317
10:01:36.314,292
10:01:36.413,329
10:01:36.513,287
10:01:36.614,279
10:01:36.717,325
10:01:36.813,305
10:01:36.917,314
10:01:37.014,290
10:01:37.115,309
10:01:37.223,336
10:01:37.312,328
10:01:37.410,326
10:01:37.513,287
10:01:37.616,305
10:01:37.715,387
10:01:37.814,413
10:01:37.913,304
10:01:38.017,293
10:01:38.109,329
10:01:38.218,287
10:01:38.313,311
10:01:38.414,368
10:01:38.517,320
10:01:38.614,336
10:01:38.722,338
10:01:38.817,336
10:01:38.914,339
10:01:39.013,429
10:01:39.117,529
10:01:39.215,507
10:01:39.314,382
10:01:39.417,353
10:01:39.517,293
10:01:39.617,299
10:01:39.714,424
10:01:39.815,464
10:01:39.912,450
10:01:40.013,373
10:01:40.111,322
10:01:40.211,272
10:01:40.317,257
10:01:40.411,270
10:01:40.517,240
10:01:40.612,283
10:01:40.719,272
10:01:40.817,264
10:01:40.912,322
10:01:41.014,337
10:01:41.114,365
10:01:41.218,367
10:01:41.317,343
10:01:41.414,397
10:01:41.519,340
10:01:41.624,339
10:01:41.711,330
10:01:41.815,400
10:01:41.918,449
10:01:42.014,340
10:01:42.114,422
