Waktu (HH:MM:SS.ms),Nilai ADC
10:11:42.876,707
10:11:42.879,737
10:11:42.881,742
10:11:42.881,707
10:11:42.881,707
10:11:42.882,714
10:11:42.882,701
10:11:42.882,645
10:11:42.883,686
10:11:42.883,688
10:11:42.884,651
10:11:42.884,686
10:11:42.884,639
10:11:42.885,621
10:11:42.885,674
10:11:42.886,688
10:11:42.887,700
10:11:42.887,705
10:11:42.888,704
10:11:42.950,709
10:11:43.056,734
10:11:43.152,688
10:11:43.254,765
10:11:43.356,839
10:11:43.451,893
10:11:43.557,850
10:11:43.658,855
10:11:43.752,827
10:11:43.854,816
10:11:43.957,1092
10:11:44.057,1057
10:11:44.154,1195
10:11:44.258,1313
10:11:44.351,1215
10:11:44.451,1078
10:11:44.554,932
10:11:44.656,930
10:11:44.755,1095
10:11:44.855,915
10:11:44.956,832
10:11:45.052,1101
10:11:45.159,1137
10:11:45.257,1242
10:11:45.355,1509
10:11:45.457,1367
10:11:45.557,1627
10:11:45.653,1555
10:11:45.754,1363
10:11:45.859,1267
10:11:45.959,1533
10:11:46.058,1971
10:11:46.159,2320
10:11:46.258,2594
10:11:46.359,3733
10:11:46.454,4095
10:11:46.554,4062
10:11:46.661,4035
10:11:46.755,3400
10:11:46.854,3197
10:11:46.959,2167
10:11:47.059,1325
10:11:47.154,1656
10:11:47.258,1039
10:11:47.360,850
10:11:47.448,869
10:11:47.553,912
10:11:47.658,885
10:11:47.758,932
10:11:47.854,635
10:11:47.957,879
10:11:48.059,624
10:11:48.151,642
10:11:48.253,618
10:11:48.357,595
10:11:48.454,691
10:11:48.558,663
10:11:48.660,608
10:11:48.759,771
10:11:48.855,711
10:11:48.958,1020
10:11:49.060,1246
10:11:49.159,1499
10:11:49.259,2018
10:11:49.361,2208
10:11:49.461,1668
10:11:49.559,1243
10:11:49.659,1117
10:11:49.750,973
10:11:49.858,878
10:11:49.951,811
10:11:50.056,710
10:11:50.160,851
10:11:50.258,914
10:11:50.360,928
10:11:50.454,869
10:11:50.554,858
10:11:50.656,669
10:11:50.754,638
10:11:50.858,643
10:11:50.954,691
10:11:51.059,720
10:11:51.154,691
10:11:51.253,678
10:11:51.358,694
10:11:51.454,660
10:11:51.556,614
10:11:51.650,601
10:11:51.752,627
10:11:51.856,721
10:11:51.953,805
10:11:52.056,835
10:11:52.153,754
10:11:52.254,673
10:11:52.352,662
